dataset,rep,strategy,sigma,rho_vs_clean,snr_drop,mean_drop
ChEMBL-hERG-Ki,ECFP4,quantile,0.9,0.4545454545454546,1.299470526420567,0.1666329563151283
ChEMBL-hERG-Ki,ECFP4,quantile,1.0,0.16083916083916086,1.5419551404978178,0.20527263254043815
ChEMBL-hERG-Ki,ECFP4,threshold,0.0,1.0,,0.0
ChEMBL-hERG-Ki,ECFP4,threshold,0.1,0.9720279720279721,0.5717684266166031,0.02323963460131671
ChEMBL-hERG-Ki,ECFP4,threshold,0.2,0.8181818181818183,0.8452709432630331,0.045597759334008954
ChEMBL-hERG-Ki,ECFP4,threshold,0.3,0.6783216783216784,0.799850771832752,0.07494336094077596
ChEMBL-hERG-Ki,ECFP4,threshold,0.4,0.4685314685314686,1.0770714958832723,0.14727231625978518
ChEMBL-hERG-Ki,ECFP4,threshold,0.5,0.22377622377622378,1.3156333061851346,0.18435385592224862
ChEMBL-hERG-Ki,ECFP4,threshold,0.6,0.20979020979020982,1.581766179509875,0.2478408928688237
ChEMBL-hERG-Ki,ECFP4,threshold,0.7,-0.034965034965034975,2.3201751060061016,0.33183731433998703
ChEMBL-hERG-Ki,ECFP4,threshold,0.8,-0.2657342657342658,2.7378897208588437,0.4759128196433788
ChEMBL-hERG-Ki,ECFP4,threshold,0.9,-0.11188811188811189,3.2156153098697025,0.585572710006485
ChEMBL-hERG-Ki,ECFP4,threshold,1.0,-0.23076923076923078,3.453375179467588,0.5842248095900834
ChEMBL-hERG-Ki,ECFP4,valprop,0.0,1.0,,0.0
ChEMBL-hERG-Ki,ECFP4,valprop,0.1,0.7902097902097903,0.7421233009620499,0.09284942518628214
ChEMBL-hERG-Ki,ECFP4,valprop,0.2,0.6573426573426573,1.034556135214968,0.12344054297960698
ChEMBL-hERG-Ki,ECFP4,valprop,0.3,0.2797202797202798,0.9933189874255247,0.15114683292276046
ChEMBL-hERG-Ki,ECFP4,valprop,0.4,0.41958041958041964,1.4298959367626936,0.21330154517114808
ChEMBL-hERG-Ki,ECFP4,valprop,0.5,0.3356643356643357,1.6145474061370253,0.21812049814542164
ChEMBL-hERG-Ki,ECFP4,valprop,0.6,0.3216783216783217,1.4477244604869708,0.23893272329817852
ChEMBL-hERG-Ki,ECFP4,valprop,0.7,0.23076923076923078,2.22939357760027,0.2838983727878282
ChEMBL-hERG-Ki,ECFP4,valprop,0.8,0.034965034965034975,2.1211545692191307,0.3641069302823931
ChEMBL-hERG-Ki,ECFP4,valprop,0.9,0.06293706293706294,2.8394701530265523,0.4135157877202029
ChEMBL-hERG-Ki,ECFP4,valprop,1.0,-0.06993006993006995,2.727890381262292,0.39625961989657227
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.0,1.0,,0.0
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.1,0.965034965034965,0.2561868231032293,0.04533926581165585
