dataset,rep,strategy,model,fold,clean,r2_06,ret_06,auc_norm
OpenADMET-LogD,ECFP4,valprop,XGBoost,1,0.6754122627190915,0.5512830169513485,0.8162170682717244,0.8216254739756572
OpenADMET-LogD,ECFP4,valprop,XGBoost,2,0.7084226480797459,0.6395431971381114,0.9027706819815269,0.8951985926389568
OpenADMET-LogD,ECFP4,valprop,XGBoost,3,0.6908086102294516,0.5683775381769074,0.8227713577399117,0.8565122707654778
OpenADMET-LogD,ECFP4,valprop,XGBoost,4,0.7009212510133301,0.5399149175002365,0.7702932629302865,0.8620162221114697
OpenADMET-LogD,MHG-GNN-pretrained,hetero,BNN-Full,1,0.4105559965867095,-2.209705152774904,-5.382225984143465,-0.09155201482736625
OpenADMET-LogD,MHG-GNN-pretrained,hetero,BNN-Full,4,0.1833538264892663,0.5413336090097419,2.952398754772822,0.04652018847809963
OpenADMET-LogD,MHG-GNN-pretrained,hetero,DNN,0,0.540808555601871,-1.3060455018519246,-2.414986760700215,-0.21514882966161405
OpenADMET-LogD,MHG-GNN-pretrained,hetero,DNN,1,0.6815717560320906,-0.0412912575946675,-0.06058240710421013,0.5185202844460597
OpenADMET-LogD,MHG-GNN-pretrained,hetero,DNN,2,0.6232079859055007,0.3986560946820061,0.6396838675017488,0.9432782603848372
OpenADMET-LogD,MHG-GNN-pretrained,hetero,LightGBM,0,0.8144609247528224,0.8166540767146687,1.0026927651102622,0.9946842706022104
OpenADMET-LogD,MHG-GNN-pretrained,hetero,LightGBM,1,0.7305587259716376,0.7233108924378314,0.990079054186689,0.9795903346619516
OpenADMET-LogD,MHG-GNN-pretrained,hetero,LightGBM,2,0.7561725463375858,0.7644733619518687,1.0109774093948354,1.0002181992428325
OpenADMET-LogD,MHG-GNN-pretrained,hetero,LightGBM,3,0.7755382260750292,0.7610215577672481,0.9812818145905594,0.9915592435982796
OpenADMET-LogD,MHG-GNN-pretrained,hetero,LightGBM,4,0.77467083239669,0.7688840789542045,0.9925300486342279,0.9877624615695885
OpenADMET-LogD,MHG-GNN-pretrained,hetero,MLP,0,0.566963669138841,0.5278623078674682,0.9310337444888424,-0.9882181627050423
OpenADMET-LogD,MHG-GNN-pretrained,hetero,MLP,1,0.5617672289144832,0.2824903616177896,0.5028601653458014,0.6451689819108801
OpenADMET-LogD,MHG-GNN-pretrained,hetero,NGBoost,0,0.7012228447956006,0.6986041074700001,0.9962654706060471,0.9987938045636424
