dataset,rep,strategy,sigma,W,meanSpear,snr_clip,mean_r2c
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.5,0.6201398601398601,0.5251748251748254,0.8600421558770787,0.00028376940912982096
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.6,0.6011188811188811,0.5013986013986015,0.8585089390828289,0.06608416983576021
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.7,0.5317482517482518,0.4146853146853148,0.6850924124078827,0.012044101890939858
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.8,0.8053146853146853,0.7566433566433567,1.41227157677486,-0.0886030340286837
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,0.9,0.5804195804195804,0.4755244755244756,0.8945928425659223,-0.12663927536546485
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,1.0,0.558041958041958,0.44755244755244766,0.7922822330990946,-0.13870397080161953
ChEMBL-hERG-Ki,PDV,hetero,0.0,0.7213186813186813,0.6516483516483517,0.8828809585102428,0.12733761243540645
ChEMBL-hERG-Ki,PDV,hetero,0.1,0.7410989010989011,0.6763736263736264,0.8455798218342409,0.10129906985542081
ChEMBL-hERG-Ki,PDV,hetero,0.2,0.7384615384615385,0.6730769230769231,0.9993336853313208,0.011715592409676599
ChEMBL-hERG-Ki,PDV,hetero,0.3,0.7828571428571428,0.7285714285714284,1.0616699454144345,0.09458707775497302
ChEMBL-hERG-Ki,PDV,hetero,0.4,0.745934065934066,0.6824175824175824,1.0003098698224209,0.05275692509656792
ChEMBL-hERG-Ki,PDV,hetero,0.5,0.5604395604395604,0.45054945054945056,0.817665455616785,0.07190120357489985
ChEMBL-hERG-Ki,PDV,hetero,0.6,0.7336263736263736,0.6670329670329671,1.0661929438752276,0.06601350784244513
ChEMBL-hERG-Ki,PDV,hetero,0.7,0.7107692307692308,0.6384615384615384,0.9806291385932042,0.006889704439714308
ChEMBL-hERG-Ki,PDV,hetero,0.8,0.7410989010989011,0.6763736263736264,0.9785544897538947,0.0328538186616967
ChEMBL-hERG-Ki,PDV,hetero,0.9,0.7463736263736264,0.682967032967033,1.0313539029437495,-0.020591100201402087
ChEMBL-hERG-Ki,PDV,hetero,1.0,0.7327472527472527,0.6659340659340659,0.941350746259771,0.011781541832606822
ChEMBL-hERG-Ki,PDV,legacy,0.0,0.741978021978022,0.6774725274725275,1.0430639169128133,0.023146529192877494
ChEMBL-hERG-Ki,PDV,legacy,0.1,0.7389010989010989,0.6736263736263737,1.0237343537833603,0.04595378289687698
ChEMBL-hERG-Ki,PDV,legacy,0.2,0.8039560439560439,0.7549450549450549,1.0604456792568209,0.035108439998873336
