dataset,model,rep,strategy,ratio,n,mad_matched,mad_nominal
OpenADMET-LogD,LightGBM,MHG-GNN-pretrained,hetero,0.4567502141071441,11,0.001921069915977463,0.03410004427621467
OpenADMET-LogD,LightGBM,PDV,valprop,1.109924572240254,10,0.018416920382208313,0.025379660085210753
OpenADMET-LogD,LightGBM,PDV,quantile,0.9224515426736883,11,0.008571148271519047,0.004379048743143674
OpenADMET-LogD,LightGBM,PDV,threshold,1.8483576164125888,6,0.005311419264910448,0.024353698227354764
OpenADMET-LogD,LightGBM,PDV,outlier,0.6739710318523683,11,0.006784971315054359,0.015563976455173196
OpenADMET-LogD,LightGBM,PDV,hetero,0.4567502141071441,11,0.0015095714649153511,0.02826940665455193
OpenADMET-LogD,LightGBM,SNS,valprop,1.109924572240254,10,0.01579748732586509,0.021788342181730168
OpenADMET-LogD,LightGBM,SNS,quantile,0.9224515426736883,11,0.0065909868037943705,0.005751674824376037
OpenADMET-LogD,LightGBM,SNS,threshold,1.8483576164125888,6,0.0010424938603602607,0.017032298019216057
OpenADMET-LogD,LightGBM,SNS,outlier,0.6739710318523683,11,0.005208556439890246,0.011562429979186056
OpenADMET-LogD,LightGBM,SNS,hetero,0.4567502141071441,11,0.0017995524626890761,0.023647164174833188
OpenADMET-LogD,MLP,ECFP4,valprop,1.109924572240254,10,0.02033491106283969,0.027725734742103735
OpenADMET-LogD,MLP,ECFP4,quantile,0.9224515426736883,11,0.013549893117603816,0.019645266138794613
OpenADMET-LogD,MLP,ECFP4,threshold,1.8483576164125888,6,0.010850322229714382,0.03147539072437927
OpenADMET-LogD,MLP,ECFP4,outlier,0.6739710318523683,11,0.01566134428485032,0.04120485658477853
OpenADMET-LogD,MLP,ECFP4,hetero,0.4567502141071441,11,0.0161758098297362,0.051465120272143235
OpenADMET-LogD,MLP,MHG-GNN-pretrained,valprop,1.109924572240254,10,2.2452485457388396,3.305582606286117
OpenADMET-LogD,MLP,MHG-GNN-pretrained,quantile,0.9224515426736883,11,2.151666163768968,2.013467871976108
OpenADMET-LogD,MLP,MHG-GNN-pretrained,threshold,1.8483576164125888,6,1.2151602670310881,0.404127614829803
OpenADMET-LogD,MLP,MHG-GNN-pretrained,outlier,0.6739710318523683,11,1.2624674295541332,2.1799662081116598
OpenADMET-LogD,MLP,MHG-GNN-pretrained,hetero,0.4567502141071441,11,0.9556285907785328,2.232753780130919
OpenADMET-LogD,MLP,PDV,valprop,1.109924572240254,10,0.013979513734672978,0.017838321145091506
OpenADMET-LogD,MLP,PDV,quantile,0.9224515426736883,11,0.010549979749314002,0.009899185270936322
OpenADMET-LogD,MLP,PDV,threshold,1.8483576164125888,6,0.009316192325551975,0.021212278426094872
OpenADMET-LogD,MLP,PDV,outlier,0.6739710318523683,11,0.011187399413730915,0.013292416412660657
OpenADMET-LogD,MLP,PDV,hetero,0.4567502141071441,11,0.012565078560813155,0.02793520581800647
OpenADMET-LogD,MLP,SNS,valprop,1.109924572240254,10,0.032259106851552796,0.03844017387087697
OpenADMET-LogD,MLP,SNS,quantile,0.9224515426736883,11,0.009745622500494024,0.011809592052661421
OpenADMET-LogD,MLP,SNS,threshold,1.8483576164125888,6,0.015015071915348843,0.03243972963820868
OpenADMET-LogD,MLP,SNS,outlier,0.6739710318523683,11,0.010799215936851514,0.03174447684329435
OpenADMET-LogD,MLP,SNS,hetero,0.4567502141071441,11,0.014915177427837151,0.04977239858358338
OpenADMET-LogD,MLP-BNN-Full,ECFP4,valprop,1.109924572240254,10,0.03226492352873748,0.038339097088632514
OpenADMET-LogD,MLP-BNN-Full,ECFP4,quantile,0.9224515426736883,11,0.028603868085608254,0.029923302387912756
OpenADMET-LogD,MLP-BNN-Full,ECFP4,threshold,1.8483576164125888,6,0.052394840316911134,0.0677464268889595
OpenADMET-LogD,MLP-BNN-Full,ECFP4,outlier,0.6739710318523683,11,0.01772264422408266,0.023203836912644524
OpenADMET-LogD,MLP-BNN-Full,ECFP4,hetero,0.4567502141071441,11,0.028305988556017358,0.05149866463229389
OpenADMET-LogD,MLP-BNN-Full,PDV,valprop,1.109924572240254,10,0.026030249526620308,0.02964465428943456
OpenADMET-LogD,MLP-BNN-Full,PDV,quantile,0.9224515426736883,11,0.01883044296816291,0.018144638745042494
OpenADMET-LogD,MLP-BNN-Full,PDV,threshold,1.8483576164125888,6,0.02112853570618693,0.021187998414886833
OpenADMET-LogD,MLP-BNN-Full,PDV,outlier,0.6739710318523683,11,0.021701807733565236,0.02067379181872806
OpenADMET-LogD,MLP-BNN-Full,PDV,hetero,0.4567502141071441,11,0.01403918906654838,0.021865272225884243
OpenADMET-LogD,MLP-BNN-Full,SNS,valprop,1.109924572240254,10,0.048492734816298046,0.05706515551240086
OpenADMET-LogD,MLP-BNN-Full,SNS,quantile,0.9224515426736883,11,0.03762893542117698,0.03270503545237091
OpenADMET-LogD,MLP-BNN-Full,SNS,threshold,1.8483576164125888,6,0.026338583305214786,0.04034796765467439
OpenADMET-LogD,MLP-BNN-Full,SNS,outlier,0.6739710318523683,11,0.04323779034193942,0.028153136445011353
OpenADMET-LogD,MLP-BNN-Full,SNS,hetero,0.4567502141071441,11,0.02204416026674821,0.026991065285687822
OpenADMET-LogD,MLP-VBLL-Full,ECFP4,valprop,1.109924572240254,10,0.021383518247201055,0.027229623950483943
OpenADMET-LogD,MLP-VBLL-Full,ECFP4,quantile,0.9224515426736883,11,0.03338785927086615,0.02952448586144886
OpenADMET-LogD,MLP-VBLL-Full,ECFP4,threshold,1.8483576164125888,6,0.008297941813430465,0.025522225942216203
OpenADMET-LogD,MLP-VBLL-Full,ECFP4,outlier,0.6739710318523683,11,0.02183348442391894,0.011685088690790062
OpenADMET-LogD,MLP-VBLL-Full,ECFP4,hetero,0.4567502141071441,11,0.009747309473013882,0.04022959470361323
OpenADMET-LogD,MLP-VBLL-Full,PDV,valprop,1.109924572240254,10,0.014815085248410331,0.017773499431026785
OpenADMET-LogD,MLP-VBLL-Full,PDV,quantile,0.9224515426736883,11,0.013312279588107183,0.010909906927101172
OpenADMET-LogD,MLP-VBLL-Full,PDV,threshold,1.8483576164125888,6,0.013340498328092051,0.01991465669942022
