model,rep,strategy,nds_mean,nds_std,baseline_r2,n_iterations,in_anova
mlp_vbll,continuous_pdv,threshold,-0.7028206430902384,,0.8280447244644165,1,True
mlp_vbll,continuous_pdv,valprop,-0.6400166820396076,,0.8280447244644165,1,True
mlp_vbll,ecfp4,hetero,-0.18859977318783006,,0.7578935861587525,1,True
mlp_vbll,ecfp4,legacy,-0.3266662196679549,,0.7573590278625488,1,True
mlp_vbll,ecfp4,outlier,-0.10811138044704086,,0.7573590278625488,1,True
mlp_vbll,ecfp4,quantile,-0.2858373386841832,,0.7557509317994118,1,True
mlp_vbll,ecfp4,threshold,-0.6462118593129246,,0.7573590278625488,1,True
mlp_vbll,ecfp4,valprop,-0.5721827857422105,,0.7573590278625488,1,True
mlp_vbll,pdv,hetero,-0.19651040001349016,,0.8132646024227143,1,False
mlp_vbll,pdv,legacy,-0.3463371309367093,,0.8132646024227143,1,False
mlp_vbll,pdv,outlier,-0.11759259676692461,,0.8132646024227143,1,False
mlp_vbll,pdv,quantile,-0.2979527377721035,,0.8132646024227143,1,False
mlp_vbll,pdv,threshold,-0.6717411594559448,,0.8132646024227143,1,False
mlp_vbll,pdv,valprop,-0.5993611335754395,,0.8132646024227143,1,False
mlp_vbll,smiles,hetero,-0.2077236067165028,,0.7173305809497833,1,True
mlp_vbll,smiles,legacy,-0.35327098857272743,,0.7170580565929413,1,True
mlp_vbll,smiles,outlier,-0.1198922309008512,,0.7195818483829498,1,True
mlp_vbll,smiles,quantile,-0.3130654564409545,,0.7195338666439056,1,True
mlp_vbll,smiles,threshold,-0.6472792317168881,,0.7163967788219452,1,True
mlp_vbll,smiles,valprop,-0.5796722731204949,,0.7173894643783569,1,True
ngboost,continuous_pdv,hetero,-0.18314579541195558,,0.836099208783358,1,True
ngboost,continuous_pdv,legacy,-0.33085131940596824,,0.836099208783358,1,True
ngboost,continuous_pdv,outlier,-0.11517705576942333,,0.836099208783358,1,True
ngboost,continuous_pdv,quantile,-0.2865230412306435,,0.836099208783358,1,True
ngboost,continuous_pdv,threshold,-0.6472795972858238,,0.836099208783358,1,True
ngboost,continuous_pdv,valprop,-0.5762105925381156,,0.836099208783358,1,True
ngboost,ecfp4,hetero,-0.14870385998151678,,0.7323129460507134,1,True
ngboost,ecfp4,legacy,-0.2859652579392426,,0.7291496102316679,1,True
ngboost,ecfp4,outlier,-0.09852693720144907,,0.7291496102316679,1,True
ngboost,ecfp4,quantile,-0.2513429216142668,,0.7278999308051242,1,True
ngboost,ecfp4,threshold,-0.5648445738870146,,0.7304597787245627,1,True
ngboost,ecfp4,valprop,-0.5019441047610721,,0.7315925946324464,1,True
ngboost,mhggnn,hetero,-0.15725576779511197,,0.7210933003278723,1,True
ngboost,mhggnn,legacy,-0.283929776847601,,0.7210933003278723,1,True
ngboost,mhggnn,outlier,-0.10341301248592784,,0.7245099314919217,1,True
ngboost,mhggnn,quantile,-0.250847386660687,,0.7214929169048242,1,True
ngboost,mhggnn,threshold,-0.5591290803751433,,0.7210933003278723,1,True
ngboost,mhggnn,valprop,-0.49542772819773856,,0.7210933003278723,1,True
ngboost,mol2vec,hetero,-0.14658808605355922,,0.6884568585616706,1,True
ngboost,mol2vec,legacy,-0.26878878274015405,,0.6871208262412991,1,True
ngboost,mol2vec,outlier,-0.09439986923775893,,0.6884568585616706,1,True
ngboost,mol2vec,quantile,-0.23276165128357304,,0.6873090638261802,1,True
ngboost,mol2vec,threshold,-0.535611730317073,,0.6884568585616706,1,True
ngboost,mol2vec,valprop,-0.47468101340637725,,0.6884568585616706,1,True
ngboost,morgan,hetero,-0.14881227491682644,,0.6756410940870615,1,False
ngboost,morgan,legacy,-0.2615023221277839,,0.6605986560065649,1,False
ngboost,morgan,outlier,-0.10237999555414612,,0.6782653614677786,1,False
ngboost,morgan,quantile,-0.23778851961983766,,0.6605986560065649,1,False
