k,arm,rep,model,dose,r2,base,ret
1.0,C Grouped lam=3,2,Ridge,0.9947999027814849,0.8663554203778664,0.884274571945325,0.9797357606608114
1.0,D Contam p=0.05,0,RF,0.9863868817815014,0.8481709542435261,0.9282089461436186,0.9137715788749697
1.0,D Contam p=0.05,0,LGBM,0.9863868817815014,0.8332242403988417,0.9379852864169321,0.8883126979333827
1.0,D Contam p=0.05,0,Ridge,0.9863868817815014,0.8730165218279464,0.884274571945325,0.9872686035824689
1.0,D Contam p=0.05,1,RF,0.9917391073459232,0.8569565285251027,0.9282089461436186,0.9232366614063088
1.0,D Contam p=0.05,1,LGBM,0.9917391073459232,0.851695668132015,0.9379852864169321,0.9080053604950029
1.0,D Contam p=0.05,1,Ridge,0.9917391073459232,0.8699055495740271,0.884274571945325,0.9837504969302834
1.0,D Contam p=0.05,2,RF,1.012445180381882,0.836642827741075,0.9282089461436186,0.9013518251650465
1.0,D Contam p=0.05,2,LGBM,1.012445180381882,0.816076898295092,0.9379852864169321,0.8700316626633606
1.0,D Contam p=0.05,2,Ridge,1.012445180381882,0.882633468945487,0.884274571945325,0.9981441250807114
1.0,D Contam p=0.10,0,RF,0.9929321440561134,0.8545092179277802,0.9282089461436186,0.9206000669116207
1.0,D Contam p=0.10,0,LGBM,0.9929321440561134,0.8321266082865854,0.9379852864169321,0.8871424960889068
1.0,D Contam p=0.10,0,Ridge,0.9929321440561134,0.8708764748925248,0.884274571945325,0.9848484877006861
1.0,D Contam p=0.10,1,RF,0.9728989678423764,0.8658441660590491,0.9282089461436186,0.9328117011329473
1.0,D Contam p=0.10,1,LGBM,0.9728989678423764,0.8575553358594703,0.9379852864169321,0.914252439007118
1.0,D Contam p=0.10,1,Ridge,0.9728989678423764,0.8669345750581783,0.884274571945325,0.9803907095858244
1.0,D Contam p=0.10,2,RF,0.995671595135752,0.8360670916364672,0.9282089461436186,0.900731559537356
1.0,D Contam p=0.10,2,LGBM,0.995671595135752,0.8113640291821859,0.9379852864169321,0.8650072031316881
1.0,D Contam p=0.10,2,Ridge,0.995671595135752,0.8754259052557831,0.884274571945325,0.9899933041497783
