kind,level,type,rep,model,dose,r2,base
noise,0.75,Grouped,0,Ridge,0.7411354013000425,0.8554527448265963,0.8973697977890748
noise,0.75,Grouped,1,RF,0.7336184964981642,0.8490230212866853,0.9194864335571435
noise,0.75,Grouped,1,LGBM,0.7336184964981642,0.7754840083196579,0.9212422032916183
noise,0.75,Grouped,1,Ridge,0.7336184964981642,0.8588337974282019,0.8973697977890748
noise,0.75,Grouped,2,RF,0.7292413817549406,0.8524283420413347,0.9194864335571435
noise,0.75,Grouped,2,LGBM,0.7292413817549406,0.7969393499281217,0.9212422032916183
noise,0.75,Grouped,2,Ridge,0.7292413817549406,0.8343783716165605,0.8973697977890748
noise,0.75,Outlier p=0.05,0,RF,0.7571973491464354,0.868894010155195,0.9194864335571435
noise,0.75,Outlier p=0.05,0,LGBM,0.7571973491464354,0.8229968204727403,0.9212422032916183
noise,0.75,Outlier p=0.05,0,Ridge,0.7571973491464354,0.8702107108594203,0.8973697977890748
noise,0.75,Outlier p=0.05,1,RF,0.7669100889312453,0.8691489305000581,0.9194864335571435
noise,0.75,Outlier p=0.05,1,LGBM,0.7669100889312453,0.8208111976203619,0.9212422032916183
noise,0.75,Outlier p=0.05,1,Ridge,0.7669100889312453,0.8633973673144386,0.8973697977890748
noise,0.75,Outlier p=0.05,2,RF,0.746125543516142,0.8759454226765595,0.9194864335571435
noise,0.75,Outlier p=0.05,2,LGBM,0.746125543516142,0.8315544124815324,0.9212422032916183
noise,0.75,Outlier p=0.05,2,Ridge,0.746125543516142,0.8660305393518445,0.8973697977890748
noise,1.0,Gaussian,0,RF,0.9944077167005905,0.8486674925519775,0.9194864335571435
noise,1.0,Gaussian,0,LGBM,0.9944077167005905,0.746801911029041,0.9212422032916183
noise,1.0,Gaussian,0,Ridge,0.9944077167005905,0.8423790582261671,0.8973697977890748
noise,1.0,Gaussian,1,RF,0.9915637480899936,0.8306908849567847,0.9194864335571435
noise,1.0,Gaussian,1,LGBM,0.9915637480899936,0.7238898435018415,0.9212422032916183
noise,1.0,Gaussian,1,Ridge,0.9915637480899936,0.8439336877038073,0.8973697977890748
noise,1.0,Gaussian,2,RF,0.9793599073582423,0.824622042281705,0.9194864335571435
noise,1.0,Gaussian,2,LGBM,0.9793599073582423,0.7410203121752993,0.9212422032916183
noise,1.0,Gaussian,2,Ridge,0.9793599073582423,0.8582720772020032,0.8973697977890748
noise,1.0,Student-t nu=3,0,RF,1.0118968521959923,0.7806001812491621,0.9194864335571435
noise,1.0,Student-t nu=3,0,LGBM,1.0118968521959923,0.7076858418259281,0.9212422032916183
noise,1.0,Student-t nu=3,0,Ridge,1.0118968521959923,0.8299600775761783,0.8973697977890748
noise,1.0,Student-t nu=3,1,RF,0.9472552442387969,0.8751550838294916,0.9194864335571435
noise,1.0,Student-t nu=3,1,LGBM,0.9472552442387969,0.7807061316937023,0.9212422032916183
noise,1.0,Student-t nu=3,1,Ridge,0.9472552442387969,0.848825550694567,0.8973697977890748
noise,1.0,Student-t nu=3,2,RF,0.9794348426015028,0.8362704146657811,0.9194864335571435
noise,1.0,Student-t nu=3,2,LGBM,0.9794348426015028,0.7380060852665489,0.9212422032916183
noise,1.0,Student-t nu=3,2,Ridge,0.9794348426015028,0.8638477459145398,0.8973697977890748
noise,1.0,Grouped,0,RF,0.9881805350667235,0.7849462110824613,0.9194864335571435
noise,1.0,Grouped,0,LGBM,0.9881805350667235,0.6900243679841445,0.9212422032916183
noise,1.0,Grouped,0,Ridge,0.9881805350667235,0.8218848129153038,0.8973697977890748
noise,1.0,Grouped,1,RF,0.9781579953308857,0.8035350567272642,0.9194864335571435
noise,1.0,Grouped,1,LGBM,0.9781579953308857,0.6533460195731048,0.9212422032916183
noise,1.0,Grouped,1,Ridge,0.9781579953308857,0.8300240651546265,0.8973697977890748
noise,1.0,Grouped,2,RF,0.972321842339921,0.8131725463730499,0.9194864335571435
noise,1.0,Grouped,2,LGBM,0.972321842339921,0.714052154386055,0.9212422032916183
noise,1.0,Grouped,2,Ridge,0.972321842339921,0.7886420434303345,0.8973697977890748
noise,1.0,Outlier p=0.05,0,RF,1.0095964655285807,0.8372826919110374,0.9194864335571435
noise,1.0,Outlier p=0.05,0,LGBM,1.0095964655285807,0.7432202896015252,0.9212422032916183
noise,1.0,Outlier p=0.05,0,Ridge,1.0095964655285807,0.8460133326968841,0.8973697977890748
noise,1.0,Outlier p=0.05,1,RF,1.0225467852416608,0.8232090033942993,0.9194864335571435
noise,1.0,Outlier p=0.05,1,LGBM,1.0225467852416608,0.7314442956294712,0.9212422032916183
noise,1.0,Outlier p=0.05,1,Ridge,1.0225467852416608,0.8221326038509085,0.8973697977890748
noise,1.0,Outlier p=0.05,2,RF,0.9948340580215229,0.8434585509773368,0.9194864335571435
noise,1.0,Outlier p=0.05,2,LGBM,0.9948340580215229,0.7539889277952232,0.9212422032916183
noise,1.0,Outlier p=0.05,2,Ridge,0.9948340580215229,0.8375902126455398,0.8973697977890748
noise,1.5,Gaussian,0,RF,1.4916115750508854,0.7732151362184165,0.9194864335571435
noise,1.5,Gaussian,0,LGBM,1.4916115750508854,0.5393709184680359,0.9212422032916183
noise,1.5,Gaussian,0,Ridge,1.4916115750508854,0.781384113731503,0.8973697977890748
noise,1.5,Gaussian,1,RF,1.4873456221349903,0.7484156376629941,0.9194864335571435
noise,1.5,Gaussian,1,LGBM,1.4873456221349903,0.5164417012650353,0.9212422032916183
noise,1.5,Gaussian,1,Ridge,1.4873456221349903,0.7623577073803849,0.8973697977890748
noise,1.5,Gaussian,2,RF,1.4690398610373636,0.7666286677600203,0.9194864335571435
noise,1.5,Gaussian,2,LGBM,1.4690398610373636,0.5452383164176876,0.9212422032916183
noise,1.5,Gaussian,2,Ridge,1.4690398610373636,0.7855953034257541,0.8973697977890748
noise,1.5,Student-t nu=3,0,RF,1.5178452782939884,0.6242730000311747,0.9194864335571435
noise,1.5,Student-t nu=3,0,LGBM,1.5178452782939884,0.3825083027215255,0.9212422032916183
noise,1.5,Student-t nu=3,0,Ridge,1.5178452782939884,0.7464273596123375,0.8973697977890748
noise,1.5,Student-t nu=3,1,RF,1.4208828663581956,0.7967770081004297,0.9194864335571435
noise,1.5,Student-t nu=3,1,LGBM,1.4208828663581956,0.5845988132078748,0.9212422032916183
noise,1.5,Student-t nu=3,1,Ridge,1.4208828663581956,0.7688311838972564,0.8973697977890748
noise,1.5,Student-t nu=3,2,RF,1.4691522639022543,0.7536464931950898,0.9194864335571435
noise,1.5,Student-t nu=3,2,LGBM,1.4691522639022543,0.5160841814097341,0.9212422032916183
noise,1.5,Student-t nu=3,2,Ridge,1.4691522639022543,0.8200032510307449,0.8973697977890748
noise,1.5,Grouped,0,RF,1.482270802600085,0.6341208297746896,0.9194864335571435
noise,1.5,Grouped,0,LGBM,1.482270802600085,0.38047563862109923,0.9212422032916183
noise,1.5,Grouped,0,Ridge,1.482270802600085,0.725355577707004,0.8973697977890748
noise,1.5,Grouped,1,RF,1.4672369929963285,0.679485080793334,0.9194864335571435
noise,1.5,Grouped,1,LGBM,1.4672369929963285,0.32571797904235944,0.9212422032916183
noise,1.5,Grouped,1,Ridge,1.4672369929963285,0.7484580023776428,0.8973697977890748
noise,1.5,Grouped,2,RF,1.4584827635098812,0.7287937337058106,0.9194864335571435
noise,1.5,Grouped,2,LGBM,1.4584827635098812,0.4294542391709717,0.9212422032916183
noise,1.5,Grouped,2,Ridge,1.4584827635098812,0.660060607864799,0.8973697977890748
noise,1.5,Outlier p=0.05,0,RF,1.5143946982928709,0.7647274001073016,0.9194864335571435
noise,1.5,Outlier p=0.05,0,LGBM,1.5143946982928709,0.545472508767862,0.9212422032916183
noise,1.5,Outlier p=0.05,0,Ridge,1.5143946982928709,0.7749020525928176,0.8973697977890748
noise,1.5,Outlier p=0.05,1,RF,1.5338201778624907,0.7324617095351375,0.9194864335571435
noise,1.5,Outlier p=0.05,1,LGBM,1.5338201778624907,0.5034516192760539,0.9212422032916183
